Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Burkesville	Central Kentucky	Cumberland	KY	-85.335	36.775	32	Mississippi Valley			Mississippi Valley-type Pb-Zn			no		no	no	no	no	no			1979	"50,000,000"	short t	no	no	no	3.00	3.50	Cadmium	"Long, 1992"			no	no	no	no	no	no	"45,000"	no	no	no	"1,361"	"1,588"								
Fountain Run	Central Kentucky	Monroe	KY	-85.943	36.704	32	Mississippi Valley			Mississippi Valley-type Pb-Zn			no		no	no	no	no	no				"50,000,000"	short t	no	no	no	unk	4.00	Cadmium	"Long, 1992"			no	no	no	no	no	no	"45,000"	no	no	no	unk	"1,814"								
Alder Pond		Somerset	ME	-70.200	45.338	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1985		no		no	no	no	no	no			1993	"3,400,000"	metric t	0.20	70.00	2.70	1.10	9.80		"Beck, F., written communication, 1997"		BHP - Rio Algom	no	no	no	no	no	no	"3,400"	0.7	238	83	34	302								
Bald Mountain		Aroostook	ME	-68.745	46.737	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1977	no	no		no	no	no	no	no				"1,484,000
35,643,000"	short t	"0.109
unk"	"2.47
unk"	"unk
1.16"	neg	"unk
1.07"		"Scully, 1993a"	"First resource figure is for gossan cap, second figure for massive sulfide."	Black Hawk Mining	no	no	no	no	no	no	"33,681"	5	114	375	neg	346	KVMS	NA11	01	247			Yes	
Blackhawk		Hancock	ME	-68.622	44.391	24b	"Massive sulfide, Besshi"			Volcanic-associated massive sulfide	by 1961	1972-1977	"1,019,910"	short t	no	unk	"15,964,000"	"2,756,000"	"115,320,000"		"USBM Minerals Yearbook, 1972-77"	1976	"1,585,700"	short t	no	unk	unk	unk	7.60		"USBM Mineral Yearbook, 1975, 1976"	"Ore mined contained about 0.4 opt Ag, amount recovered unknown.  Small production during World War I."	Black Hawk Mining	925	no	unk	7	1	52	"1,440"	no	unk	unk	unk	109	BVMS	NA05	01	245				
Catheart Mountain		Somerset	ME	-70.217	45.536	17	Porphyry Cu			Porphyry Cu	1965	no	no		no	no	no	no	no			1968	"20,000,000"	short t	unk	unk	0.55	no	no	About 0.06% Mo	"D.A. Singer, personal communication, 1996"	Resource copper grade seems excessive; true grade perhaps 0.1 to 0.2% Cu.	Scott Paper	no	no	no	no	no	no	"18,000"	unk	unk	100	no	no	PCU1	NA02	01	244				
"Harborside (Penobscot, Cape Rosier, Callahan)"		Hancock	ME	-68.810	44.352	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	by 1881	1968-1972	"778,000"	short t	no	"273,000"	"13,734,000"	"3,786,000"	"68,930,000"		Brooksville 1972 Annual Town Report	1972	"50,000"	short t	no	unk	1.45	unk	2.83		Callahan 1971 SEC Form 10K	Production data estimated in part.  Remaining resource estimated by deducting 1972 production from 1971 reserves.		706	no	8	6	2	31	45	no	unk	1	unk	1	KVMS	NA13	01	249				
Katahdin Iron Works		Piscataquis	ME	-69.196	45.439		Unclassified		Layered ultramafic	Magmatic sulfide	before 1900		unk		no	no	no	no	no	"Iron, pyrites"			"60,000,000"	metric t	unk	unk	0.07	no	no	"0.10% Co, 0.13% Ni, pyrites, arsenic"	"Superior Oil Co., 1984"			unk	no	no	no	no	no	"60,000"	unk	unk	42	no	no								
Ledge Ridge		Oxford	ME	-71.050	45.233	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide		no	no		no	no	no	no	no				"3,700,000"	short t	0.01	0.53	0.96	0.79	2.26		"Buro, 1993"	 	Boise Cascade - Aur Resources - Teck	no	no	no	no	no	no	"3,400"	1.6	61	32	27	76	KVMS	NA14	01	250				
Mount Chase		Penobscot	ME	-68.464	46.139		Unclassified		Massive sulfide		1979	no	no		no	no	no	no	no				"3,180,000"	short t	unk	3.05	1.45	4.83	11.25		"Scully, 1993b"	 	J.M. Huber Co.	no	no	no	no	no	no	"2,885"	unk	302	42	139	325	KVMS	NA11	02	248				
543-S		Keweenaw	MI	-88.180	47.360	23	Basaltic Cu		Chalcocite in basalt			no	no		no	no	no	no	no			1995	"1,651,800"	short t	no	unk	4.15	no	no		Skillings 1/19/95		Great Lakes Minerals - Brookline Minerals	no	no	no	no	no	no	"1,498"	no	unk	62	no	no	NONE	NONE	09	260		Development on hold		
Ashbed Amygdaloid	Keweenaw	Houghton	MI	-88.650	47.100	23	Basaltic Cu		Native Cu		1844	1855-1964	"10,904,000"	short t	no	unk	">142,850,000"	no	no		"White, 1968"											Chiefly Atlantic mine; small production from tailings 1965-1967 not included	Copper Range	"9,892"	no	yes	65	no	no							NTCU	LS08	06	230				
Baltic Amygdaloid	Keweenaw	Houghton	MI	-88.579	47.079	23	Basaltic Cu		Native Cu		1882	1898-1967	"61,914,000"	short t	no	unk	"1,854,000,000"	no	no		"White, 1968"	1978	"1,506,500"	metric t	no	unk	0.80	no	no		"Wilband, 1978"	"Baltic, Champion, Globe, and Trimountain mines"	Copper Range	"56,167"	no	unk	841	no	no	"1,507"	no	unk	12	no	no	NTCU	LS08	07	231				
Calumet and Hecla Conglomerate	Keweenaw	Houghton	MI	-88.579	47.140	23	Basaltic Cu		Native Cu		1864	1865-1964	"79,838,000"	short t	no	unk	"4,210,944,000"	no	no		"White, 1968"	1978	"2,976,500"	metric t	no	unk	1.18	no	no		"Wilband, 1978"	"Calumet & Hecla, Centennial, Osceola, Tamarack and other mines"	Calumet and Hecla	"72,428"	no	unk	"1,910"	no	no	"2,977"	no	unk	35	no	no	NTCU	LS08	04	228				
Evergreen Series	Keweenaw	Ontonagon	MI	-89.100	46.764	23	Basaltic Cu		Native Cu				"5,673,000"	short t	no	unk	"72,073,672"	no	no		"Wilband, 1978; White, 1968"	1978	"11,421,500"	metric t	no	unk	1.11	no	no		"Wilband, 1978"	Resource at Caledonia mine.		"5,146"	no	unk	33	no	no	"11,422"	no	unk	127	no	no								
Fissure Mines	Keweenaw	"Houghton, Keweenaw, Ontonagon"	MI	-88.200	44.400	23	Basaltic Cu		Native Cu		by 1740	1844-1925			no	yes	"213,400,000"	no	no		"White, 1968; Drier and Du Temple, 1961"											"Aboriginal copper production since 3,000 years BCE is estimated between 250,000 and 750,000 short t."			no	unk	97	no	no														
Hills Creek	Keweenaw	Houghton	MI	-88.417	47.308	23	Basaltic Cu		Native Cu		1965?		no		no	no	no	no	no			1966	"45,000,000"	short t	no	unk	>1.5	no	no		E/MJ 9/1966		Calumet and Hecla	no	no	no	no	no	no	"41,000"	no	unk	>612	no	no								
Isle Royale Amygdaloid	Keweenaw	Houghton	MI	-88.461	47.236	23	Basaltic Cu		Native Cu		by 1852	1853-1948	"18,879,000"	short t	no	yes	"340,914,000"	no	no		"White, 1968"	1978	"453,600"	metric t	no	unk	1.00	no	no		"Wilband, 1978"	Chiefly Isle Royale mine	 	"17,127"	no	unk	155	no	no	454	no	unk	5	no	no	NTCU	LS08	02	226				
Kearsarge Amygdaloid	Keweenaw	Houghton	MI	-88.363	47.307	23	Basaltic Cu		Native Cu		by 1869	1887-1964	"98,173,000"	short t	no	yes	"2,271,817,760"	no	no		"White, 1968; Wilband, 1978"	1978	"8,785,500"	metric t	no	unk	0.69	no	no		"Wilband, 1978"	Several mines.	Calumet and Hecla	"89,061"	no	unk	"1,030"	no	no	"8,786"	no	unk	61	no	no	NTCU	LS08	01	225				
Kingston Conglomerate	Keweenaw	Houghton	MI	-88.385	47.291	23	Basaltic Cu		Native Cu		1962	1965-1967	"990,000"	short t	no	yes	"1,980,000"	no	no		"Bornhorst, 1992"	1964	"150 to 200,000,000"	short t	no	unk	1.5 to 1.75	no	no		E/MJ 6/1964		Calumet and Hecla	900	no	unk	1	no	no	">140,000"	no	unk	">2,000"	no	no								
Kona	Marquette	Marquette	MI	-87.367	46.500	30b	Sediment-hosted Cu			Sediment-hosted Cu	1888		no		no	no	no	no	no			1978	"1,000,000,000"	metric t	no	unk	0.30	no	no		"Wilband, 1978"		Cleveland Cliffs Iron	no	no	no	no	no	no	"1,000,000"	no	no	"3,000"	no	no	NONE	NONE	13	264				
Osceola Amygdaloid	Keweenaw	Houghton	MI	-88.516	47.186	23	Basaltic Cu		Native Cu		by 1878	1879-1964	"30,241,000"	short t	no	no	"596,111,999"	no	no		"White, 1968; Wilband, 1978"		"10,297,800"	metric t	no	unk	0.95	no	no		"Wilband, 1978"	Several mines.	Calumet and Hecla	"27,434"	no	no	270	no	no	"10,299"	no	unk	98	no	no	NTCU	LS08	03	227				
Pewabic Amygdaloid	Keweenaw	Houghton	MI	-88.600	47.140	23	Basaltic Cu		Native Cu		1846	1855-1967	"42,878,000"	short t	no	no	"1,082,964,000"	no	no		"White, 1968; Lankton and Hyde, 1982"		"5,000,000"	metric t	no	unk	1.00	no	no		"Wilband, 1978"	Chiefly Quincy mine.	Quincy Mining	"38,898"	no	no	491	no	no	"5,000"	no	unk	50	no	no	NTCU	LS08	05	229				
Presque Isle	White Pine	Gogebic	MI	-89.950	46.700	30b	"Sediment-hosted Cu, reduced facies"			Sediment-hosted Cu	1950		no		no	no	no	no	no			1985	"95,000,000"	short t	no	0.32	1.27	no	no		"Cannon, 1985"		Copper Range	no	no	no	no	no	no	"95,000"	no	1	"1,100"	no	no	SCU2	LS07	02	224				
Ropes	Marquette	Marquette	MI	-87.425	46.530	36a	"Low-sulfide Au-quartz vein, Archean"			Low-sulfide Au-quartz vein	1881	1883-1989	"2,955,000"	short t	"203,000"	"277,000"	no	no	no		"Fountain, 1992; Callahan SEC Form 10K 1985-1989"	1990	"482,355"	short t	0.09	unk	no	no	no		"Sims and Day, 1992; Bodwell, 1997"	"An additional 149,000 to 246,000 oz Au indicated, mainly below present mine workings."	Callahan	"2,681"	6.3	8.6	no	no	no	438	1	unk	no	no	no	HMAS	LS12	01	233				
St. Louis	Keweenaw	Houghton	MI	-88.390	47.240	23	Basaltic Cu		Chalcocite in basalt		1844		no		no	no	no	no	no		 	1990	"8,000,000"	short t	no	unk	0.8 to 1.0	no	no		AMH 1993 entry for Great Lakes Minerals		Great Lakes Minerals		no	no	no	no	no	"7,300"	no	unk	73	no	no	NONE	NONE	10	261				
White Pine	White Pine	Ontonagon	MI	-89.534	46.744	30b	"Sediment-hosted Cu, reduced facies"			Sediment-hosted Cu	by 1868	1868-1995	"190,300,000"	short t	no	"47,900,000"	"3,893,000,000"	no	no		"Mauk, 1993; Seasor and Brown, 1989; Copper Range and Inmet Annual Reports"	1994	"153,000,000"	short t	no	>0.21	1.04	no	no		"Inmet 1994 Annual Report, NM 7/24/95, Milton Gere, Jr. written communication, 1995"	"Some 3 billion lbs Cu remain in mine pillars (estimated as 123 million short t ore assuming ore mined at 57% extraction and 6% dilution).  Other resources include 1,994,000 short t copper."	Inmet (Copper Range)	"173,000"	no	"1,490"	"1,766"	no	no	"139,000"	no	">1,000"	"1,443"	no	no	SCU2	LS07	01	223	Shut down 1997			
Birch Lake	Duluth	Lake	MN	-91.733	47.817	5a	Duluth Cu-Ni-PGE			Magmatic sulfide			no		no	no	no	no	no			1976	"1,248,000,000"	metric t	unk	unk	0.47	no	no	0.16% Ni	"Listerud and Meineke, 1977"	"Resource may be as large as 4,800,000,000 metric t"		no	no	no	no	no	no	"1,248,000"	unk	unk	"5,866"	no	no	DMCU	LS01	01	215				
Dunka River (Dunka Road)	Duluth	St. Louis	MN	-91.883	47.666	5a	Duluth Cu-Ni-PGE			Magmatic sulfide			no		no	no	no	no	no			1976	"808,000,000"	metric t	0.06	1.50	0.43	no	no	0.109%Ni; 0.437 gpt Pd; 0.116 gpt Pt	"Randol 1996; Listerud and Meineke, 1977"	"Resource may be as large as 2,840,000,000 metric t"	Fleck Resources - Argosy	no	no	no	no	no	no	"808,000"	49	"1,212"	"3,474"	no	no	DMCU	LS01	01	215			Yes	
Gunflint Corridor East	Duluth	Cook	MN	-90.740	48.050	5a	Duluth Cu-Ni-PGE			Magmatic sulfide	1966		no		no	no	no	no	no			1976	"307,000,000"	metric t	unk	unk	0.16	no	no	0.04% Ni	"Listerud and Meineke, 1977"	"Resource may be as large as 1,695,000,000 metric t"	Cleveland Cliffs Iron	no	no	no	no	no	no	"307,000"	unk	unk	491	no	no	DMCU	LS01	01	215				
Gunflint Corridor West	Duluth	Cook	MN	-90.847	48.086	5a	Duluth Cu-Ni-PGE			Magmatic sulfide	1966		no		no	no	no	no	no			1976	"192,000,000"	metric t	unk	unk	0.24	no	no	0.06% Ni	"Listerud and Meineke, 1977"	"Resource may be as large as 706,000,000 metric t"		no	no	no	no	no	no	"192,000"	unk	unk	461	no	no	DMCU	LS01	01	215				
Maturi (South Kawishwi River West)	Duluth	Lake	MN	-91.756	47.801	5a	Duluth Cu-Ni-PGE			Magmatic sulfide	by 1951		no		no	no	no	no	no			1976	"416,000,000"	metric t	unk	unk	0.47	no	no	0.15% Ni	"Listerud and Meineke, 1977"	"Resource may be as large as 1,600,000,000 metric t."		no	no	no	no	no	no	"416,000"	unk	unk	"1,955"	no	no	DMCU	LS01	01	215				
Minnamax (Babbit Lake)	Duluth	St. Louis	MN	-91.883	47.641	5a	Duluth Cu-Ni-PGE			Magmatic sulfide	1957		no		no	no	no	no	no			1976	"836,000,000"	metric t	unk	unk	0.54	no	no	0.13% Ni	Randol 1996		Arimetco International - Longyear Mesaba	no	no	no	no	no	no	"836,000"	unk	unk	"4,514"	no	no	DMCU	LS01	01	215			Yes	
Partridge River	Duluth	St. Louis	MN	-92.039	47.576	5a	Duluth Cu-Ni-PGE			Magmatic sulfide			no		no	no	no	no	no			1976	"3,754,000,000"	metric t	unk	unk	0.39	no	no	0.13% Ni	"Listerud and Meineke, 1977"	"Resource may be as large as 14,704,000,000 metric t."		no	no	no	no	no	no	"3,754,000"	unk	unk	"14,641"	no	no	DMCU	LS01	01	215				
Spruce Road (Ely)	Duluth	Lake	MN	-91.683	47.833	5a	Duluth Cu-Ni-PGE			Magmatic sulfide	1948		no		no	no	no	no	no			1976	"300,000,000"	metric t	unk	unk	0.46	no	no	0.17% Ni; Platinum group metals	"Listerud and Meineke, 1977"	"Resource may be as large as 1,902,000,000 metric t."	State of Minnesota	no	no	no	no	no	no	"300,000"	unk	unk	"1,380"	no	no	DMCU	LS01	01	215				
Annapolis	Southeast Missouri	Iron	MO	-90.700	37.367	32	Mississippi Valley	32a	Southeast Missouri Pb-Zn	Mississippi Valley-type Pb-Zn		1923-1940	"1,384,000"	short t	no	no	no	"42,952,000"	no		"Wharton, 1975"													"1,256"	no	no	no	19	no	 	 	 	 	 	 	MVTD	GP05	08	211				
Boss-Bixby	Southeast Missouri	Dent	MO	-91.153	37.643	29b	Olympic dam Cu-U-Au				1956	no	no		no	no	no	no	no			1974	"40,000,000"	short t	unk	unk	0.83	no	no	"18% Fe, 0.035% Co"	"Jones, 1974"			no	no	no	no	no	no	"36,000"	neg	unk	301	no	no								
Central Missouri	Central Missouri	"Morgan, Miller, Camden, Moniteau, Cooper, Cole, Benton"	MO	-92.817	38.250	32	Mississippi Valley	32a	Southeast Missouri Pb-Zn	Mississippi Valley-type Pb-Zn	~1725	1830-1948	">150,000"	short t	no	no	no	"49,710,000"	"14,064,000"	Barite	"Kiilsgaard, 1967"														no	no	no	23	6		 	 	  	 	 	MVTD	GP05	03	206				
Higdon	Southeast Missouri	"Madison, Perry"	MO	-90.145	37.608	32	Mississippi Valley	32a	Southeast Missouri Pb-Zn	Mississippi Valley-type Pb-Zn	1956		no		no	no	no	no	no			1980	"3,911,000"	short t	no	unk	0.34	4.63	1.42	0.08% Co	"Anonymous, 1982"	"Mineable reserve, resource larger."	Pintlar Corp.	no	no	no	no	no	no	"3,548"	neg	unk	12	164	50								
Indian Creek	Southeast Missouri	Washington	MO	-90.900	38.500	32	Mississippi Valley	32a	Southeast Missouri Pb-Zn	Mississippi Valley-type Pb-Zn	1948	1954-1982	"~16,500,000"	short t	no	yes	no	"~816,000,000"	yes		"USBM Minerals Yearbook, 1982, v. 2, p. 312"											 	Doe Run	"15,000"	no	no	no	370	yes		 	 	 	 	 	MVTD	GP05	02	205				
Old Lead Belt	Southeast Missouri	St. Francois	MO	-90.534	37.842	32	Mississippi Valley	32a	Southeast Missouri Pb-Zn	Mississippi Valley-type Pb-Zn	1715	1864-1972	">257,000,000"	short t	no	"8,700,000"	">4,600,000"	"17,000,000,000"	"205,000,000"		"Wharton and others, 1969; Kiilsgaard, 1967; Kiilsgaard and others, 1967; Snyder and Gerdemann, 1968"											 	Doe Run	">233,000"	no	271	yes	"7,711"	93		 	 	 	 	 	MVTD	GP05	04	207				
Mine LaMotte-Fredericktown	Southeast Missouri	Madison	MO	-90.273	37.533	32	Mississippi Valley	32a	Southeast Missouri Pb-Zn	Mississippi Valley-type Pb-Zn	1715	1723-1961	">15,400,000"	short t	no	">3,000"	"44,000,000"	"1,151,000,000"	no	"Nickel, cobalt"	"Wharton, 1975; Kinkel, 1967"	1970	"2,000,000"	short t	no	unk	unk	unk	unk	"0.46% Ni, 0.28% Co"	"Bilbrey, 1962; Long, 1992"	 	Anschutz - Falconbridge	">14,000"	no	neg	20	522	no		no	unk	unk	sig	no	MVTD	GP05	06	209				
Potosi-Palmer-Valle Mines	Southeast Missouri	"Jefferson, Washington"	MO	-90.500	38.017	32	Mississippi Valley	32a	Southeast Missouri Pb-Zn	Mississippi Valley-type Pb-Zn	by 1720	1725-1959	">300,000"	short t	no	no	no	"360,000,000"	"108,000,000"	Barite	"Wharton, 1975"													>270	no	no	no	163	49														
Viburnum Trend	Southeast Missouri	"Crawford, Washington, Iron, Reynolds"	MO	-91.167	37.583	32	Mississippi Valley	32a	Southeast Missouri Pb-Zn	Mississippi Valley-type Pb-Zn	1955	1960-1995	">195,000,000"	short t	no	"46,000,000"	"724,000,000"	"24,766,000,000"	"3,120,000,000"		"USBM Minerals Yearbooks 1970-1995; SEC Form 10Ks for Asarco, Fluor, Dresser, Kennecott, Amax, and St. Joe; Cominco Annual Reports; Lasmanis, 1997"	1993									"Doe Run Co., personal communication, 1994"	 	Doe Run - Asarco	">177,000"	no	"1,431"	328	"11,234"	"1,415"		no	"1,621"	unk	"28,504"	"1,439"	MVTD	GP05	05	208	Yes			Asarco SEC Form 10K; www.asarco.com
Alta	Wickes (Colorado)	Jefferson	MT	-112.093	46.372	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1869	1896-1957	"~1,600,000"	short t	">8,174"	"25,000,000"	"546,286"	"130,000,000"	"1,234,644"		"Roby and others, 1960; Krohn and Weist, 1977"												 	"~1,451"	>0.25	778	neg	59	neg							PMV	PMVN	19	636				
Argenta (Montana)	Argenta (Montana)	Beaverhead	MT	-112.904	45.335	19a	Polymetallic replacement	22c	"Vein, polymetallic"	Polymetallic vein and replacement	1862	1902-1965	"311,796"	short t	"72,241"	"562,159"	"604,135"	"18,189,939"	"2,009,366"		"Geach, 1972"	1989	"1,412,000"	short t	0.31	unk	no	no	no		Robertson Info-Mine	Resource at Shafer (Yellow Band) mine.	Aber Resources	283	2	18	neg	8	1	"1,281"	14	unk	no	no	no	PMR1	NR13	09	316				
Bald Butte	Marysville	Lewis and Clark	MT	-112.346	46.723	22c	"Vein, polymetallic"			Polymetallic vein and replacement	by 1890	1890-1948	">167,595"	short t	"185,000"	"129,000"	"38,814"	"1,790,000"	no		"Krohn and Weist, 1977; McClernan, 1983"												 	>152	6	4	neg	neg	no							PMV	PMVN	15	632				
Bannack 	Bannack 	Beaverhead	MT	-112.983	45.159	39a	Placer Au-PGE				1862	1862-1950	">2,264,492"	cu yds	">132,000"	>887	no	no	no		"Koschmann and Bergendahl, 1968; Geach, 1972"														>4.1	>0.03	no	no	no							PLAC	PLAC	28	493				
Bannack	Bannack	Beaverhead	MT	-112.985	45.155	18f	"Skarn, Au"			"Cu, Au, and Pb-Zn skarn"	1863	1902-1965	"124,687"	short t	"40,108"	"113,776"	"92,930"	"138,147"	880		"Geach, 1972"											Substantial unrecorded production before 1902.	 	113	1	4	neg	neg	neg							SKNG	NR07	05	302				
Basin Creek (Paupers Dream)	Rimini (Vaughn)	Lewis and Clark	MT	-112.290	46.420	25	"Epithermal vein, quartz-adularia"	25a	Hot-Spring Au-Ag	"Creede, Comstock and Sado epithermal vein"	1865	1988-1994	"2,821,000"	short t	"82,700"	"63,900"	no	no	no		Pegasus Gold 1989-1994 SEC Form 10K	1993	"14,691,000"	short t	0.03	unk	no	no	no		Pegasus Gold 1993 SEC Form 10K	"Porphyry Dike, Venus"	Pegasus Gold	"2,559"	3	2	no	no	no	"13,327"	14	unk	no	no	no	QZAD	NR24	02	335	Shut down 1991; leach ceased 1994			
Basin Gulch		Granite	MT	-113.608	46.292		Unclassified						unk		unk	unk	unk	unk	unk			1996	"33,000,000"	short t	0.03	unk	no	no	no		ME 5/96 p. 64		Cable Mountain Mining	unk	unk	unk	unk	unk	unk	"30,000"	31	unk	no	no	no								
Beal Mountain	Siberia (German Gulch)	Silver Bow	MT	-112.881	45.954	22c	"Vein, polymetallic, Au-Ag"	18f	"Skarn, Au"	Polymetallic vein and replacement	1932	1989-1996	"13,649,000"	short t	"412,100"	"69,000"	no	no	no		Pegasus Gold 1989-1996 SEC Form 10K	1996	"702,000"	short t	0.06	unk	no	no	no		Pegasus Gold 1996 SEC Form 10K	 	Pegasus Gold	"12,382"	13	2	no	no	no	637	1	unk	no	no	no	PMV	PMVG	03	598	Yes			Pegasus Gold SEC Form 10K
Big Blackfoot	Lincoln Gulch	Lewis and Clark	MT	-112.756	46.943		Unclassified			Polymetallic vein and replacement	early 1900s		unk		unk	unk	unk	unk	unk			1988	"2,300,000"	short t	0.05	unk	no	no	no		"Avery and others, 1989"		Sunshine	unk	unk	unk	unk	unk	unk	"2,000"	4	unk	no	no	no								
Big Seven	Neihart (Montana)	Cascade	MT	-110.705	46.949	22c	"Vein, polymetallic"			Polymetallic vein and replacement	by 1893	1902-1943	"144,000"	short t	"17,539"	"2,306,353"	"523,369"	"143,274"	no		"Krohn and Weist, 1977"												 	131	0.6	72	neg	neg	no							PMV	PMVN	10	627				
Black Pine (Combination)	Black Pine (Combination)	Granite	MT	-113.366	46.448	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1882	1885-1985	"1,476,000"	short t	">3,000"	"5,622,000"	"10,678,000"	"260,000"	"27,000"	Tungsten	"Krohn and Weist, 1977; McCulloch, 1992"	1985	"1,649,000"	short t	unk	4.94	0.33	no	no		Inspiration Resources 1985 SEC Form 10K		Pan American Silver	"1,339"	>0.1	175	5	neg	neg	"1,496"	unk	253	5	no	no	PMV	PMVN	18	635	Intermittent			
Block P	Barker	Judith Basin	MT	-110.632	47.084	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1879	1915-1948	"405,852"	short t	"3,332"	"2,578,224"	"775,112"	"42,750,417"	"17,848,398"		"Witkind, 1973"												 	368	0.1	80	neg	19	8							PMV	PMVN	08	625				
Broadwater	Neihart (Montana)	Cascade	MT	-110.724	46.934	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1881	1892-1952			800	"3,000,000"	"61,832"	"10,000,000"	"100,000"		"Krohn and Weist, 1977"											 	 		0.02	93	neg	5	neg							PMV	PMVN	11	628				
Butte (Veins)	Butte	Silver Bow	MT	-112.530	46.020	22c	"Vein, polymetallic, porphyry Cu-related"	21a	Vein Cu; Porphyry Cu-Mo	Polymetallic vein and replacement	1875	1880-1975	"275,118,000"	short t	"2,573,000"	"668,245,000"	"16,333,163,000"	"854,821,000"	"4,909,251,000"	"1,851,000 short t manganese; 2,153 short t cadmium; 2,021 short t bismuth; 158 short t selenium; 119 short t tellurium; and 9,456,105 short t sulfuric acid"	"Miller, 1973; USBM Minerals Yearbook 1973-75; Anaconda SEC Form 10K 1973-75"	1985	"163,241,000"	short t						Manganese	"Long, 1992"	"Resource includes shallow silver, copper vein, lead-zinc vein, disseminated zinc, and manganese ores. Not possible to report grades due to inclusion of different ore-types and incomplete data."	New Butte Mining - Montana Resources - Western Pacific Resources - Metanetix	"249,583"	80	"20,785"	"7,409"	388	"2,227"	"148,090"	>3	">5,559"	">1,440"	>37	">2,334"	PMV	PMVP	01	673				
"Butte (Continental, Berkeley etc.)"	Butte	Silver Bow	MT	-112.526	46.020	21a	Porphyry Cu-Mo			Porphyry Cu	1912	1952-1996	"549,932,000"	short t	"451,000"	"52,189,000"	"5,287,234,000"	no	no	">58,205 short t molybdenum"	Anaconda 1959-70 Annual Reports; Anaconda 1971-75 SEC Form 10K; Arco 1976-83 SEC Form 10K; Asarco 1989-96 SEC Form 10K; USBM Minerals Yearbook 1952-91	1996	"4,762,289,000"	short t	unk	0.11	0.55	no	no	0.032% Mo	"Long, 1992; Asarco 1986 SEC Form 10K"	"Production from Kelly underground, Berkeley and Continental pits.  Recovery of metals largely estimated for the 1960's.  Resource includes Berkeley and Continental pits, deep Berkeley, Kelly, deep block-cave, and Pittsmont deep; excludes over 217,000,000 "	Asarco - Montana Resources	"498,890"	14	"1,623"	"2,398"	no	no	"4,320,277"	>120	"16,294"	"23,762"	no	no	PCU2	NR10	02	306	Yes			Asarco SEC Form 10K; www.asarco.com
Butte placer	Butte	Silver Bow	MT	-112.529	46.025	39a	Placer Au-PGE				1864	1864-1959			"363,000"	unk	no	no	no		"Yeend and Shawe, 1989"														11	unk	no	no	no							PLAC	PLAC	20	485				
Butte Highlands	Fish Creek	Silver Bow	MT	-112.516	45.797	18f	"Skarn, Au"			"Cu, Au, and Pb-Zn skarn"	1866	1867-1942	"107,000"	short t	"63,000"	"3,000"	no	no	no		"Ettlinger, 1996; Krohn and Weist, 1977"		"2,500,000"	short t	0.33 to 0.57	unk	no	no	no		Randol 1996		Orvana Resources	97	2	0.09	no	no	no	"2,300"	26 to 44	no	no	no	no	SKNG	NR07	04	301			Yes	
