i	dep_id	yr	line	res_nm	res_tp	proved	probable	reserves	meas	indic	demo	infer	tot_resources	tot_endowment	units	best_rec	remrk	inserted_by	insert_date	updated_by	update_date
11255	"10006473"	"1978"	22	""	"In-situ"								21552000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11256	"10006473"	"1978"	20	""	"In-situ"								13002000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11257	"10206863"	"1994"	3	""	"In-situ"						197300000		197300000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11258	"10206863"	"1993"	2	""	"In-situ"						212282000		212282000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11259	"10206863"	"1992"	1	""	"In-situ"						228640000		228640000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11260	"10111288"	"1985"	1	""	"In-situ"								639450000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11261	"10158064"	"1973"	1	""	"In-situ"					6300000	6300000		6300000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11262	"10207680"	"1993"	3	""	"In-situ"						5600000		5600000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11263	"10207680"	"1991"	2	""	"In-situ"				4600000	1000000	5600000	1000000	6600000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11264	"10207680"	"1981"	1	""	"In-situ"				5000000	1000000	6000000	14000000	20000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11265	"10089353"	"1975"	1	"TOUSSIT MINE"	"In-situ"								5000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
11266	"10023478"	"1985"	1	""	"In-situ"								13552000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
